Center,Periphery,Limbus,Conjunctiva
4.669692,-64.3009,-146.159,-60.7292
67.81132,-18.4647,-16.743,-6.72678
-53.0411,-137.2,-131.395,-11.873
36.98034,-48.449,24.13973,-214.188
,,,
,,,
-78.1322,-138.529,-236.533,
-179.131,-126.148,-396.305,
