Center,Periphery,Limbus,Conjunctiva
,-95.102,-86.9927,119.7707
-69.1788,-116.376,-140.109,-233.823
-47.468,-65.5206,-198.258,23.82669
,57.98921,-75.8644,-205.065
,,,
,,,
-77.4946,27.17627,-141.468,
-29.5486,-172.103,-287.259,
