Center,Periphery,Limbus,Conjunctiva
-68.9935,-134.046,-243.6,-36.5658
-156.142,-203.172,-208.776,-146.582
32.21508,-56.3186,-116.067,-20.9448
7.718092,-58.076,-94.0896,-320.331
,,,
,,,
-114.155,-27.5163,-112.663,
-114.679,-145.037,-324.443,
