Center,Periphery,Limbus,Conjunctiva
41.90426,-26.5834,-177.293,-96.4599
-18.4262,2.887439,-115.871,
-22.4667,,-33.727,-112.552
-33.825,-48.1069,-75.6487,-101.312
11.22337,4.345477,29.51468,
65.67803,-15.9328,6.079636,
-5.31124,-41.3328,-153.553,
-77.7992,-40.4144,-209.108,
